comparison_id,prompt_id,output_a_condition,output_b_condition,output_a_total,output_b_total,alpha_total,plain_total,alpha_minus_plain_delta,mapped_preference,alpha_d01_intent,alpha_d02_direct,alpha_d03_structure,alpha_d04_assumptions,alpha_d05_hidden_constraints,alpha_d06_risk_failure,alpha_d07_claim_boundary,alpha_d08_evidence_uncertainty,alpha_d09_decision,alpha_d10_next_actions,alpha_d11_specificity,alpha_d12_brevity,alpha_d13_safety,alpha_d14_comparative_value,plain_d01_intent,plain_d02_direct,plain_d03_structure,plain_d04_assumptions,plain_d05_hidden_constraints,plain_d06_risk_failure,plain_d07_claim_boundary,plain_d08_evidence_uncertainty,plain_d09_decision,plain_d10_next_actions,plain_d11_specificity,plain_d12_brevity,plain_d13_safety,plain_d14_comparative_value,source_blinded_score_row,source_map_row,artifact_note
comparison-001,PMB-PF-001,plain,alpha,34,42,42,34,8,Alpha,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,1,2,2,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
comparison-002,PMB-PF-002,alpha,plain,39,37,39,37,2,Alpha,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,1,3,3,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
comparison-003,PMB-PF-003,plain,alpha,40,37,37,40,-3,Plain,2,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,4,4,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
comparison-004,PMB-PF-004,alpha,plain,35,35,35,35,0,Tie,3,3,3,2,2,2,3,2,2,2,3,3,3,2,3,3,3,2,2,2,3,2,2,2,3,3,3,2,5,5,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
comparison-005,PMB-PF-005,alpha,plain,40,40,40,40,0,Tie,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,6,6,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
comparison-006,PMB-PF-006,plain,alpha,38,40,40,38,2,Alpha,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,7,7,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
comparison-007,PMB-PF-007,alpha,plain,41,40,41,40,1,Alpha,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,8,8,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
comparison-008,PMB-PF-008,plain,alpha,39,40,40,39,1,Alpha,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,9,9,Mechanical unblinding only; scores copied unchanged from locked Output A/B dimensions.
